"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005272_2022-03-31_10Q_extracted.txt,487125,58857,1.0347112492991488,2.215539358105238,1.4611685950694056,0.912380855293338,0.32281631751533374,0.2446607880116214,0.15631105900742479,0.5080109417741305,363559,25864,7618,1.9706237151061046,5.812069932208574,2890
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005272_2022-06-30_10Q_extracted.txt,543997,64366,1.1481216791473758,2.3987819656340306,1.371842276978529,0.9166330050026412,0.2998477457042538,0.22682782835658577,0.13827175838175434,0.49560326880651273,405919,34150,10073,1.9763695118540845,5.808035298138769,2886
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005272_2023-03-31_10Q_extracted.txt,544707,65859,1.0659135425682138,2.3261816911887516,1.6429037792860504,1.0780607054464841,0.24598004828497244,0.2474984436447562,0.11084286126421597,0.43426107289816124,414334,29181,8422,1.9865318331587178,5.830774837152098,2950
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005272_2023-06-30_10Q_extracted.txt,613453,71922,1.1484663941492173,2.4012124245710633,1.5655849392397319,1.0441867578765884,0.22663440949917965,0.2280248046494814,0.10845082172353383,0.41572814994021307,457348,38965,11586,1.9819387669975808,5.818038986680015,2984
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005272_2024-06-30_10Q_extracted.txt,392841,45288,1.0400105988341282,2.9985868221162337,1.263027733615969,0.8324500971559795,0.2649708532061473,0.25172231054584,0.10598834128245893,0.5785196961667549,292874,24354,7723,1.9810325030913267,5.8232423600070655,2510
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005513_2020-06-30_10Q_extracted.txt,313042,38079,0.9716641718532525,2.5158223692849075,1.4627484965466528,0.8981328291184117,0.4490664145592059,0.3072559678562987,0.29675149032275006,0.6460253683132435,231445,18041,4937,1.892119015730455,5.580845085217574,2387
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005513_2021-03-31_10Q_extracted.txt,274783,34362,1.0214772132006287,2.319422618008265,1.4056224899598393,0.966183574879227,0.36959431930621034,0.31721087247540886,0.30557010651300853,0.5005529363832141,210140,13112,3543,1.9092602293230894,5.629328909842267,2266
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005513_2021-09-30_10Q_extracted.txt,322653,39525,1.0373181530676787,2.297280202403542,1.3586337760910816,0.8526249209361163,0.3213156230234029,0.2783048703352308,0.30866540164452877,0.5566097406704617,241252,19048,5177,1.884225173940544,5.577052498418722,2290
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005513_2022-06-30_10Q_extracted.txt,310079,37873,1.0508805745517915,2.112322762918174,1.3228421302775064,0.7709978084651334,0.3485332558814987,0.3062868006231352,0.32741002825231696,0.5360019010904866,230285,19275,5225,1.8891822670504053,5.577931507934412,2238
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_subset\0000005513_2022-09-30_10Q_extracted.txt,332491,40732,1.038495531768634,2.1408229401944414,1.3625650594127467,0.8052636747520378,0.3191593832858686,0.29706373367377004,0.32406952764411273,0.5450260237650987,247532,20419,5459,1.8767308258862812,5.560566630658942,2258
