"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2019-03-31_10Q_extracted.txt,6126,566,0.35335689045936397,0.7067137809187279,0.17667844522968199,1.2367491166077738,0.0,0.35335689045936397,0.0,1.5901060070671376,3515,444,131,1.8957597173144876,5.625441696113074,206
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2019-06-30_10Q_extracted.txt,6456,596,0.5033557046979865,0.6711409395973155,0.16778523489932887,1.342281879194631,0.0,0.33557046979865773,0.0,1.5100671140939599,3616,285,85,1.8909395973154361,5.6124161073825505,210
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2019-09-30_10Q_extracted.txt,7066,672,0.5952380952380952,0.744047619047619,0.1488095238095238,1.488095238095238,0.0,0.2976190476190476,0.0,1.3392857142857142,4055,330,109,1.8645833333333333,5.510416666666667,227
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2020-03-31_10Q_extracted.txt,7971,840,0.35714285714285715,1.7857142857142856,1.1904761904761905,1.1904761904761905,0.35714285714285715,0.35714285714285715,0.0,1.0714285714285714,5066,320,114,1.8678571428571429,5.578571428571428,296
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2020-06-30_10Q_extracted.txt,7224,697,0.2869440459110474,0.5738880918220948,0.1434720229555237,1.1477761836441895,0.0,0.2869440459110474,0.0,1.291248206599713,4116,380,128,1.8335724533715925,5.436154949784792,222
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2020-09-30_10Q_extracted.txt,6564,617,0.3241491085899514,0.6482982171799028,0.1620745542949757,1.2965964343598055,0.0,0.3241491085899514,0.0,1.4586709886547813,3737,286,97,1.8654781199351702,5.541329011345219,215
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2021-03-31_10Q_extracted.txt,6584,656,0.45731707317073167,0.9146341463414633,0.1524390243902439,1.676829268292683,0.0,0.3048780487804878,0.0,1.3719512195121952,3976,327,109,1.8704268292682926,5.527439024390244,219
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2021-06-30_10Q_extracted.txt,6681,640,0.3125,0.625,0.15625,1.25,0.0,0.3125,0.0,1.40625,3816,321,99,1.85625,5.5,222
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2021-09-30_10Q_extracted.txt,6511,603,0.4975124378109453,0.8291873963515755,0.16583747927031509,1.658374792703151,0.0,0.33167495854063017,0.0,1.4925373134328357,3699,328,97,1.8955223880597014,5.598673300165838,215
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2022-03-31_10Q_extracted.txt,7031,716,0.41899441340782123,1.536312849162011,0.41899441340782123,2.3743016759776534,0.0,0.41899441340782123,0.0,1.2569832402234637,4275,368,108,1.8659217877094971,5.5195530726256985,268
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2022-06-30_10Q_extracted.txt,4792,525,0.38095238095238093,0.7619047619047619,0.0,1.5238095238095237,0.0,0.38095238095238093,0.0,1.7142857142857144,3470,248,77,1.8971428571428572,5.619047619047619,195
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2022-09-30_10Q_extracted.txt,5060,546,0.5494505494505495,0.9157509157509158,0.0,1.8315018315018317,0.0,0.3663003663003663,0.0,1.6483516483516485,3640,307,74,1.8974358974358974,5.606227106227106,199
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2023-03-31_10Q_extracted.txt,5048,543,0.5524861878453038,1.1049723756906076,0.0,2.0257826887661143,0.0,0.3683241252302026,0.0,1.6574585635359116,3626,306,77,1.9097605893186003,5.6464088397790055,200
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2023-06-30_10Q_extracted.txt,5744,629,0.6359300476947536,0.6359300476947536,0.1589825119236884,1.2718600953895072,0.1589825119236884,0.3179650238473768,0.0,1.4308426073131957,4136,336,86,1.8950715421303657,5.58664546899841,240
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2023-09-30_10Q_extracted.txt,4731,514,0.38910505836575876,0.7782101167315175,0.0,1.556420233463035,0.0,0.38910505836575876,0.0,1.7509727626459144,3444,228,66,1.8988326848249026,5.632295719844358,194
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2024-03-31_10Q_extracted.txt,5436,609,0.3284072249589491,1.8062397372742198,0.3284072249589491,1.6420361247947455,0.0,0.49261083743842365,0.16420361247947454,1.477832512315271,3982,249,72,1.8669950738916257,5.579638752052545,236
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000001800_2024-06-30_10Q_extracted.txt,6495,739,0.5412719891745602,1.6238159675236805,0.40595399188092013,2.706359945872801,0.13531799729364005,0.40595399188092013,0.0,1.2178619756427604,4741,308,90,1.8592692828146145,5.489851150202977,262
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2019-03-30_10Q_extracted.txt,202746,27665,0.8783661666365443,3.7050424724380986,2.1615759985541296,1.7242002530272909,1.4458702331465751,0.29278872221218144,0.32893547804084583,0.9181275980480751,160701,4700,1526,1.8594975600939816,5.520332550153624,2438
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2019-06-29_10Q_extracted.txt,228160,30757,0.8518386058458237,4.15190038040121,2.0678219592287936,1.9995448190655785,1.3167734174334298,0.26335468348668595,0.2893650225964821,0.8615924830119973,179863,6126,2014,1.867152192996716,5.538088890333908,2514
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2019-09-28_10Q_extracted.txt,194582,26400,0.8257575757575757,3.5795454545454546,2.0,1.5075757575757576,1.3143939393939394,0.28787878787878785,0.2840909090909091,0.8636363636363636,153715,5253,1710,1.8614772727272728,5.526704545454545,2431
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2020-03-28_10Q_extracted.txt,163872,22825,0.8893756845564075,3.5487404162102956,2.3745892661555312,1.2705366922234391,1.625410733844469,0.3373493975903614,0.3198247535596933,0.8499452354874041,130852,3317,1050,1.8628258488499452,5.51947426067908,2403
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2020-06-27_10Q_extracted.txt,162345,22571,0.9082450932612643,3.3937353240884325,2.374728634087989,1.045589473217846,1.6525630233485447,0.3455761818262372,0.3278543263479686,0.8683709184351601,129174,3722,1165,1.8641176731203757,5.508838775419786,2346
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2020-09-26_10Q_extracted.txt,197030,27304,0.9339290946381482,3.32185760328157,2.1828303545268093,1.2379138587752712,1.4942865514210373,0.355259302666276,0.34793436859068266,0.8130676823908586,157742,4376,1369,1.8663932024611778,5.521938177556402,2590
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2021-03-27_10Q_extracted.txt,183758,25795,0.9110292692382245,3.806939329327389,2.601279317697228,1.3025780189959293,1.6941267687536343,0.30626090327582867,0.37604186857918204,0.918782709827486,148173,3326,1042,1.870478774956387,5.54204303159527,2471
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2021-06-26_10Q_extracted.txt,184611,25688,0.9109311740890688,3.445188414824042,2.5926502647150422,0.9887885393958268,1.7050763002180007,0.2919651199003426,0.3620367486764248,1.0160386172531921,147522,4328,1323,1.8739099968857054,5.541614761756462,2394
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2021-09-25_10Q_extracted.txt,183920,25443,0.9354242817277836,3.718115002161695,2.633337263687458,1.0965688008489565,1.7214951067091144,0.2908462052430924,0.34587116299178555,0.9629367606021302,146931,4394,1306,1.8673112447431515,5.53177691309987,2397
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2022-03-26_10Q_extracted.txt,220318,30397,0.8290291805112346,3.2601901503437842,2.64170806329572,0.9639109122610784,1.5297562259433497,0.2631838668289634,0.32240023686548014,0.9803599039378885,176782,4839,1405,1.8891666940816527,5.580452018291279,2606
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2022-06-25_10Q_extracted.txt,232140,31723,0.7817671720833465,3.0419569397597956,2.5974844749866026,0.8952495035148,1.4815748825773098,0.2584875327049775,0.3183809854049113,0.9456860952621127,184801,6132,1815,1.8879677205812817,5.568609526211266,2582
C:/code/s-p500-10-Q-sentiment-return-analysis/sec_parser_10Q_txt\0000002488_2022-09-24_10Q_extracted.txt,234061,31864,0.8253828772282199,3.1226462465478284,2.601682149133819,0.8787346221441126,1.493848857644991,0.25734371077077584,0.2918654280692945,0.9258096911875471,186648,6071,1789,1.889624654782827,5.5755397941250315,2582
